class,fn_name,address,reversed,locked,type
cTransmission,CalculateDriveAcceleration,0x006D05E0,1,0,S
cTransmission,CalculateGearForSimpleCar,0x006D0530,1,0,S
cTransmission,DisplayGearRatios,0x006D0590,1,0,S
cTransmission,InitGearRatios,0x006D0460,1,0,S
cHandlingDataMgr,ConvertBikeDataToGameUnits,0x006F5290,1,0,S
cHandlingDataMgr,ConvertBikeDataToWorldUnits,0x006F5240,1,0,S
cHandlingDataMgr,ConvertDataToGameUnits,0x006F5080,1,0,S
cHandlingDataMgr,ConvertDataToWorldUnits,0x006F5010,1,0,S
cHandlingDataMgr,FindExactWord,0x006F4F30,1,0,S
cHandlingDataMgr,GetBoatPointer,0x006F5300,1,0,S
cHandlingDataMgr,GetFlyingPointer,0x006F52D0,1,0,S
cHandlingDataMgr,GetHandlingId,0x006F4FD0,1,0,S
cHandlingDataMgr,HasFrontWheelDrive,0x006A0480,1,0,S
cHandlingDataMgr,HasRearWheelDrive,0x006A04B0,1,0,S
cHandlingDataMgr,LoadHandlingData,0x005BD830,1,0,S
cBuoyancy,AddSplashParticles,0x006C34E0,1,0,S
cBuoyancy,CalcBuoyancyForce,0x006C2750,1,0,S
cBuoyancy,FindWaterLevel,0x006C2810,1,0,S
cBuoyancy,FindWaterLevelNorm,0x006C28C0,1,0,S
cBuoyancy,PreCalcSetup,0x006C2B90,1,0,S
cBuoyancy,ProcessBuoyancy,0x006C3EF0,1,0,S
cBuoyancy,ProcessBuoyancyBoat,0x006C3030,1,0,S
cBuoyancy,SimpleCalcBuoyancy,0x006C3B00,1,0,S
cBuoyancy,SimpleSumBuoyancyData,0x006C2970,1,0,S
WaterCreature_c,Exit,0x006E3E60,1,0,S
WaterCreature_c,Init,0x006E4160,1,0,S
WaterCreature_c,Update,0x006E4670,1,0,S
WaterCreatureManager_c,CanAddWaterCreatureAtPos,0x006E4510,1,0,S
WaterCreatureManager_c,Exit,0x006E3FD0,1,0,S
WaterCreatureManager_c,GetRandomWaterCreatureId,0x006E4040,1,0,S
WaterCreatureManager_c,Init,0x006E3F90,1,0,S
WaterCreatureManager_c,TryToExitGroup,0x006E45B0,1,0,S
WaterCreatureManager_c,TryToFreeUpWaterCreatures,0x006E40E0,1,0,S
WaterCreatureManager_c,Update,0x006E4F10,1,0,S
VideoMode,FreeVideoModeList,0x00745A80,1,0,S
VideoMode,GetVideoModeList,0x00745AF0,1,0,S
VideoMode,IsVideoModeExclusive,0x00745CA0,1,0,S
VideoMode,SetVideoMode,0x00745C70,1,0,S
SurfaceInfos_c,CanClimb,0x0055EA10,1,0,S
SurfaceInfos_c,CantSprintOn,0x0055E870,1,0,S
SurfaceInfos_c,CreatesObjects,0x0055E9F0,1,0,S
SurfaceInfos_c,CreatesPlants,0x0055E9D0,1,0,S
SurfaceInfos_c,CreatesSparks,0x0055E850,1,0,S
SurfaceInfos_c,CreatesWheelDust,0x0055E970,1,0,S
SurfaceInfos_c,CreatesWheelGrass,0x0055E910,1,0,S
SurfaceInfos_c,CreatesWheelGravel,0x0055E930,1,0,S
SurfaceInfos_c,CreatesWheelMud,0x0055E950,1,0,S
SurfaceInfos_c,CreatesWheelSand,0x0055E990,1,0,S
SurfaceInfos_c,CreatesWheelSpray,0x0055E9B0,1,0,S
SurfaceInfos_c,GetAdhesionGroup,0x0055E5C0,1,0,S
SurfaceInfos_c,GetAdhesiveLimit,0x0055EB50,1,0,S
SurfaceInfos_c,GetBulletFx,0x0055E670,1,0,S
SurfaceInfos_c,GetFlammability,0x0055E830,1,0,S
SurfaceInfos_c,GetFrictionEffect,0x0055E650,1,0,S
SurfaceInfos_c,GetRoughness,0x0055E810,1,0,S
SurfaceInfos_c,GetSkidmarkType,0x0055E630,1,0,S
SurfaceInfos_c,GetSurfaceIdFromName,0x0055D220,1,0,S
SurfaceInfos_c,GetTyreGrip,0x0055E5E0,1,0,S
SurfaceInfos_c,GetWetMultiplier,0x0055E600,1,0,S
SurfaceInfos_c,Init,0x0055F420,1,0,S
SurfaceInfos_c,IsAudioConcrete,0x0055EA30,1,0,S
SurfaceInfos_c,IsAudioGrass,0x0055EA50,1,0,S
SurfaceInfos_c,IsAudioGravel,0x0055EA90,1,0,S
SurfaceInfos_c,IsAudioLongGrass,0x0055EB10,1,0,S
SurfaceInfos_c,IsAudioMetal,0x0055EAF0,1,0,S
SurfaceInfos_c,IsAudioSand,0x0055EA70,1,0,S
SurfaceInfos_c,IsAudioTile,0x0055EB30,1,0,S
SurfaceInfos_c,IsAudioWater,0x0055EAD0,1,0,S
SurfaceInfos_c,IsAudioWood,0x0055EAB0,1,0,S
SurfaceInfos_c,IsBeach,0x0055E750,1,0,S
SurfaceInfos_c,IsGlass,0x0055E790,1,0,S
SurfaceInfos_c,IsPavement,0x0055E7F0,1,0,S
SurfaceInfos_c,IsSand,0x0055E6F0,1,0,S
SurfaceInfos_c,IsSeeThrough,0x0055E6B0,1,0,S
SurfaceInfos_c,IsShallowWater,0x0055E730,1,0,S
SurfaceInfos_c,IsShootThrough,0x0055E6D0,1,0,S
SurfaceInfos_c,IsSkateable,0x0055E7D0,1,0,S
SurfaceInfos_c,IsSoftLanding,0x0055E690,1,0,S
SurfaceInfos_c,IsStairs,0x0055E7B0,1,0,S
SurfaceInfos_c,IsSteepSlope,0x0055E770,1,0,S
SurfaceInfos_c,IsWater,0x0055E710,1,0,S
SurfaceInfos_c,LeavesFootsteps,0x0055E890,1,0,S
SurfaceInfos_c,MakesCarClean,0x0055E8F0,1,0,S
SurfaceInfos_c,MakesCarDirty,0x0055E8D0,1,0,S
SurfaceInfos_c,ProducesFootDust,0x0055E8B0,1,0,S
Securom,SecuromDisplayInit,0x00744A70,1,0,S
Securom,SecuromStateDisplay,0x00744AE0,1,0,S
RwHelper,AtomicRemoveAnimFromSkinCB,0x00734B90,1,0,S
RwHelper,Get2DEffectAtomic,0x00734880,1,0,S
RwHelper,GetAnimHierarchyFromClump,0x00734B10,1,0,S
RwHelper,GetAnimHierarchyFromSkinClump,0x00734A40,1,0,S
RwHelper,GetEventGlobalGroup,0x004ABA50,1,0,S
RwHelper,GetFirstAtomic,0x00734820,1,0,S
RwHelper,GetFirstAtomicCallback,0x00734810,1,0,S
RwHelper,GetFirstChild,0x00734900,1,0,S
RwHelper,GetFirstFrameCallback,0x007348F0,1,0,S
RwHelper,GetFirstObject,0x007348C0,1,0,S
RwHelper,GetFirstObjectCallback,0x007348B0,1,0,S
RwHelper,GetNameAndDamage,0x005370A0,1,0,S
RwHelper,RemoveRefsCB,0x007226D0,1,0,S
RwHelper,RpAtomicConvertGeometryToTL,0x00734BE0,1,0,S
RwHelper,RpAtomicConvertGeometryToTS,0x00734C20,1,0,S
RwHelper,RpClumpConvertGeometryToTL,0x00734CB0,1,0,S
RwHelper,RpClumpConvertGeometryToTS,0x00734D30,1,0,S
RwHelper,SetFilterModeOnAtomicsTextures,0x00734D80,1,0,S
RwHelper,SetFilterModeOnClumpsTextures,0x00734DC0,1,0,S
RwHelper,SkinAtomicGetHAnimHierarchCB,0x00734A20,1,0,S
RwHelper,atomicConvertGeometryToTL,0x00734C60,1,0,S
RwHelper,atomicConvertGeometryToTS,0x00734CE0,1,0,S
RwHelper,forceLinearFilteringAtomicsCB,0x00734DA0,1,0,S
RwHelper,forceLinearFilteringMatTexturesCB,0x00734D60,1,0,S
Rs,RsAlwaysOnTop,0x00619460,1,0,S
Rs,RsCameraBeginUpdate,0x00619450,1,0,S
Rs,RsErrorMessage,0x00619B00,1,0,S
Rs,RsEventHandler,0x00619B60,1,0,S
Rs,RsGrabScreen,0x00619AF0,1,0,S
Rs,RsInitialize,0x00619600,1,0,S
Rs,RsInputDeviceAttach,0x006194C0,1,0,S
Rs,RsKeyFromScanCode,0x006193F0,1,0,S
Rs,RsKeyboardEventHandler,0x00619560,1,0,S
Rs,RsMouseEventHandler,0x00619580,1,0,S
Rs,RsMouseSetPos,0x006194A0,1,0,S
Rs,RsMouseSetVisibility,0x00619490,1,0,S
Rs,RsPadEventHandler,0x006195A0,1,0,S
Rs,RsPathGetSeparator,0x00619430,1,0,S
Rs,RsPathnameCreate,0x006195D0,1,0,S
Rs,RsPathnameDestroy,0x006195C0,1,0,S
Rs,RsRegisterImageLoader,0x00619470,1,0,S
Rs,RsRwInitialize,0x00619C90,1,0,S
Rs,RsRwTerminate,0x006195E0,1,0,S
Rs,RsSelectDevice,0x006194B0,1,0,S
Rs,RsSetDebug,0x00619480,1,0,S
Rs,RsTerminate,0x006195F0,1,0,S
Rs,RsTimer,0x00619410,1,0,S
Rs,RsWarningMessage,0x00619B30,1,0,S
Rs,RsWindowSetText,0x00619420,1,0,S
Rs,rsCommandLine,0x00619510,1,0,S
Rs,rsPreInitCommandLine,0x00619530,1,0,S
RenderBuffer,ClearRenderBuffer,0x00707790,1,0,S
RenderBuffer,RenderStuffInBuffer,0x00707800,1,0,S
RenderBuffer,StartStoring,0x00708290,1,0,S
RenderBuffer,StopStoring,0x007077A0,1,0,S
ModelIndices,InitModelIndices,0x005BCA10,1,0,S
ModelIndices,MatchAllModelStrings,0x005B57C0,1,0,S
IKChain_c,ClampLimits,0x00618520,1,0,S
IKChain_c,Exit,0x00617870,1,0,S
IKChain_c,GetBoneNodeFromTag,0x00617C60,1,0,S
IKChain_c,GetBoneSpeed,0x00618630,1,0,S
IKChain_c,GetLimits,0x00618590,1,0,S
IKChain_c,GetPriority,0x00617C50,1,0,S
IKChain_c,Init,0x00618370,1,0,S
IKChain_c,IsAtTarget,0x00617F30,1,0,S
IKChain_c,IsFacingTarget,0x00617E60,1,0,S
IKChain_c,MoveBonesToTarget,0x006178B0,1,0,S
IKChain_c,SetBlend,0x00617C10,1,0,S
IKChain_c,SetBoneSpeed,0x00618680,1,0,S
IKChain_c,SetLimits,0x006185E0,1,0,S
IKChain_c,SetOffsetBoneTag,0x00617C20,1,0,S
IKChain_c,SetOffsetPos,0x00617C30,1,0,S
IKChain_c,SetupBones,0x00617CA0,1,0,S
IKChain_c,Update,0x006184B0,1,0,S
IKChain_c,UpdateEntity,0x00617E00,1,0,S
IKChain_c,UpdateOffset,0x00617E20,1,0,S
IKChain_c,UpdateTarget,0x00617E50,1,0,S
IKChainManager_c,AbortLookAt,0x00618280,1,0,S
IKChainManager_c,AbortPointArm,0x006182F0,1,0,S
IKChainManager_c,AddIKChain,0x00618750,1,0,S
IKChainManager_c,CanAccept,0x00618800,1,0,S
IKChainManager_c,CanAcceptLookAt,0x006188B0,1,0,S
